Phố,Phường,Quận,Thành phố/Tỉnh,Diện tích,Số tầng,Số phòng ngủ,WC,Mặt tiền,Vị trí,Kiểu nhà,Pháp lý,Thang Máy,Giá nhà(Tỷ)
Vạn Bảo, Phường Kim Mã,Quận Ba Đình,Hà Nội,70.0,1,2,2,0,,Chung cư,Sổ đỏ,0,3.6
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,2,1,0,,Chung cư,Sổ đỏ,0,3.45
Yên Phụ, Phường Trúc Bạch,Quận Ba Đình,Hà Nội,140.0,1,4,3,0,,Chung cư,Sổ đỏ,0,15.2
Phường Ngọc Khánh,Quận Ba Đình,Quận Ba Đình,Hà Nội,115.0,1,3,2,0,,Chung cư,Sổ đỏ,0,6.95
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,1,2,2,0,,Chung cư,Sổ đỏ,0,4.86
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,113.0,1,2,2,0,,Chung cư,Sổ đỏ,0,6.9
Cửa Bắc, Phường Trúc Bạch,Quận Ba Đình,Hà Nội,80.0,1,3,2,0,,Chung cư,Sổ đỏ,0,3.85
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,80.0,1,2,2,0,,Chung cư,Sổ đỏ,0,6.15
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,82.0,1,2,2,0,,Chung cư,Sổ đỏ,0,2.86
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,1,0,0,,Chung cư,Sổ đỏ,0,0.88
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.67
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,52.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.69
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,53.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.69
Liễu Giai, Phường Ngọc Hà,Quận Ba Đình,Hà Nội,32.0,1,1,1,0,,Chung cư,Sổ đỏ,0,0.69
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.88
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.79
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,44.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.77
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,50.0,1,2,2,0,,Chung cư,Sổ đỏ,0,0.62
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,2,2,0,,Chung cư,Sổ đỏ,0,0.635
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,2,2,0,,Chung cư,Sổ đỏ,0,0.65
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,52.0,1,2,2,0,,Chung cư,Sổ đỏ,0,0.63
Hoàng Diệu, Phường Cống Vị,Quận Ba Đình,Hà Nội,44.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.94
Phan Kế Bính, Phường Vĩnh Phúc,Quận Ba Đình,Hà Nội,45.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.72
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,43.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.65
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,43.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.77
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,42.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.82
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,31.0,1,1,1,0,,Chung cư,Sổ đỏ,0,0.66
Độc Lập, Phường Ngọc Hà,Quận Ba Đình,Hà Nội,48.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.642
Phan Kế Bính, Phường Cống Vị,Quận Ba Đình,Hà Nội,50.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.71
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,46.0,1,2,1,0,,Chung cư,Sổ đỏ,0,0.66
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,2,2,0,,Chung cư,Sổ đỏ,0,0.78
Phường Ngọc Hà,Quận Ba Đình,Quận Ba Đình,Hà Nội,32.0,1,1,1,0,,Chung cư,Sổ đỏ,0,0.78
Phường Đội Cấn,Quận Ba Đình,Quận Ba Đình,Hà Nội,35.0,1,2,3,0,,Chung cư,Sổ đỏ,0,0.6
